These,Nr.,Id,Wortmeldung,Wesen des Netzes/ des Internets,Verhältnis real/virtuell,"Gesellschaft, ges. Enwicklung","Regulierung/Regeln, Staat",Kontext eines digitalen Kodex,Chancen/Risiken,"Innovation, Entwicklung",Bedingungen an Lösungen,"Lösungen, Lösungsraum",Institutionen,Menschliche Beziehungen,Vertrauen,Grundrechte,"Werte, Maßstäbe",Grundsätzliches,Begriffsbestimmungen,Machtkonstellationen,"Netzökonomie, Daten als Währung",Unklar,Anzahl
V1,1,V1_01,Ist eine übergreifende Perspektive (Verantwortung/Internet) sinnvoll?,,,,,,,,,,,,,,,x,,,,,2
V1,2,V1_02,Gut und Böse. Maßstab für die digitale Welt?,,,,,,,,,,,,,,x,,,,,,2
V1,3,V1_03,Bewusstseinswandel,,,x,,,,,,,,,,,,x,,,,,3
V1,4,V1_04,Entwicklungsdynamik va. Regelungsträgheit,x,,,x,x,,,,,,,,,,,,,,,4
V1,5,V1_05,Bremst ein digitaler Kodex Innovationen?,,,,,x,x,x,,,,,,,,,,,,,4
V1,6,V1_06,Zeitliche Dimension - Wie kann Entwicklungsoffenheit erhalten/gewährleistet werden (Monopole = Entropie? Notstand?),,,,,,,x,,,,,,,,,,,,,2
V1,7,V1_07,"Interesse an Neuem, Neues schlägt Regelungen",,,,x,,,x,,,,,,,,,,,,,3
V1,8,V1_08,Verantwortung und Innovationen,,,,,,,x,,,,,,,,,,,,,2
V1,9,V1_09,"Wer ist ""das Netz""? Verantwortung der dominierenden Plattformen",,,,,,,,,,x,,,,,,,,,,2
V1,10,V1_10,Sozialromantische Überhöhung digitaler Kommunikation,x,,x,,,,,,,,,,,,,,,,,3
V1,11,V1_11,Diffusion von Interessen und Wertvorstellungen,,,x,,,,,,,,,,,x,,,,,,3
V1,12,V1_12,Realen und virtuellen Raum mental vernetzen,,x,,,,,,,,,,,,,,,,,,2
V1,13,V1_13,Die Wirklichkeit findet im Kopf statt + Essen/Trinken/Kleiden/Wohnen,,x,,,,,,,,,,,,,,,,,,2
V1,14,V1_14,"Das ""Netz"" ist ein sozialer Zusammenhang",x,,x,,,,,,,,,,,,,,,,,3
V1,15,V1_15,Diskussion über digitalen Kodex aus sozialtheoretischer Perspektive,,,,,x,,,,,,,,,,,,,,,2
V1,16,V1_16,Netzwerke - Projekte - Unsicherheiten,,,,,,,,,,,,,,,,,,,x,2
V1,17,V1_17,"Chancen nutzen, Risiken erkennen",,,,,,x,,,,,,,,,,,,,,2
V1,18,V1_18,Keine Chance ohne Risiken - beides stimmt,,,,,,x,,,,,,,,,,,,,,2
V1,19,V1_19,Chance für wenige? Risiken für viele?,,,,,,x,,,,,,,,,,,,,,2
V1,20,V1_20,Verantwortung → Last. Autorität. Kompetenz,,,,,,,,,,,,,,,x,,,,,2
V1,21,V1_21,Verantwortungslosigkeit als Netz- oder als allgemeines Phänomen,,x,,,,,,,,,,,,,,,,,,2
V1,22,V1_22,Wer verantwortet Algorithmen?,,,,,,,,,x,,,,,,,,,x,,3
V1,23,V1_23,Eigenverantwortung vs. Regulierung,,,,x,,,,,x,,,,,,,,,,,3
V1,24,V1_24,"Zeitliche Perspektive → Hat das Netz die erforderliche Entwicklung, um Risiken/Chancen zu bewerten?",x,,,,,x,,,,,,,,,,,,,,3
V1,25,V1_25,Partizipationsversprechen,x,,,,,,,,,,,,,,,,,,,2
